domain,count,company_name,company_website_url,company_logo_url
adform.net,5,,,
vgwort.de,9,VG Wort,http://www.vgwort.de/startseite.html,https://ba-cdn.ghostery.com/logos/vgwort.png
adtech.de,1,,,
scorecardresearch.com,13,,,
meetic-partners.com,1,,,
westlotto.com,1,,,
redintelligence.net,2,,,
turn.com,1,Turn,http://www.turn.com,https://ba-cdn.ghostery.com/logos/turn_logo.png
atdmt.com,1,,,
gmads.net,8,,,
rfihub.com,1,,,
aolcdn.com,2,,,
wikifolio.com,2,,,
ariva.de,1,,,
cedexis.com,1,Cedexis,http://www.cedexis.com/,https://ba-cdn.ghostery.com/logos/cedexis.png
criteo.com,3,Criteo,http://www.criteo.com/,https://ba-cdn.ghostery.com/logos/criteo2.png
meetrics.net,3,,,
huffingtonpost.com,1,,,
googletagmanager.com,4,,,
ivwbox.de,13,,,
emediate.eu,1,,,
googlesyndication.com,13,,,
focus.de,2,,,
demdex.net,2,,,
nuggad.net,9,,,
exelator.com,5,,,
wildundhund.de,1,,,
llnwd.net,2,,,
refinedads.com,4,,,
ard.de,1,adyard,http://adyard.de/,https://ba-cdn.ghostery.com/logos/adyard.png
advolution.de,3,Advolution,http://www.advolution.de,https://ba-cdn.ghostery.com/logos/advolution.png
abmr.net,1,,,
welt.de,1,,,
facebook.net,3,,,
tele2.de,1,,,
pubmatic.com,2,PubMatic,http://www.pubmatic.com/,https://ba-cdn.ghostery.com/logos/pubmatic.png
miisolutions.net,2,,,
ligatus.com,8,Ligatus,http://www.ligatus.com/,https://ba-cdn.ghostery.com/logos/ligatus.png
adsafeprotected.com,1,,,
intelliad.de,1,intelliAd,http://www.intelliad.de/,https://ba-cdn.ghostery.com/logos/intelliad.png
sensic.net,1,,,
load.s3.amazonaws.com,3,,,
gstatic.com,5,,,
tfag.de,1,,,
paulparey.de,2,,,
gartenxxl.de,2,,,
plista.com,6,Plista,http://www.plista.com/,https://ba-cdn.ghostery.com/logos/plista.png
zanox.com,5,zanox,http://www.zanox.com/us/,https://ba-cdn.ghostery.com/logos/zanox1.png
zeit.de,1,,,
taboola.com,1,Taboola,http://www.taboola.com,https://ba-cdn.ghostery.com/logos/taboola.png
yieldlab.net,12,,,
exponential.com,1,Exponential Interactive,http://www.exponential.com/,https://ba-cdn.ghostery.com/logos/exponential2.png
atsfi.de,1,,,
metrigo.com,2,Metrigo,http://metrigo.com/,https://ba-cdn.ghostery.com/logos/metrigo.png
chartbeat.net,4,,,
doubleclick.net,17,,,
71i.de,2,,,
akamaihd.net,2,,,
omtrdc.net,1,,,
sueddeutsche.com,2,,,
etracker.de,1,,,
edgesuite.net,1,,,
nt.vc,1,,,
vinsight.de,1,,,
n24.de,1,,,
